descriptor_id,emotion,guidance,source_short
reappraisal,angry,"Validate the grievance, then help reinterpret intent, options, or consequences. Avoid telling the user their anger is wrong.","Gross & John 2003 - 10.1037/0022-3514.85.2.348; Ochsner & Gross 2005 - 10.1016/j.tics.2005.03.010; Jurkiewicz, McGarrigle & Oveis 2023 - 10.1007/s42761-023-00183-4"
instrumental_support,angry,"Channel anger into controllable action: document facts, identify options, and choose a response. Avoid escalating blame or encouraging impulsive action.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Cutrona & Russell 1990 - stable: Social support: An interactional view
emotional_support,angry,Validate the feeling and the perceived violation while keeping the response non-escalatory. Avoid blame-amplifying language or premature problem-solving.,High & Dillard 2012 - 10.1080/10510974.2011.598208; Jones & Wirtz 2006 - 10.1111/j.1468-2958.2006.00274.x; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163
mixed_support,angry,"Validate the grievance, lower escalation, and offer concrete response options. Avoid choosing sides too strongly before the facts are clear.",Cutrona & Suhr 1992 - 10.1177/009365092019002002; Rains & High 2021 - 10.1093/joc/jqab010; Zaki & Williams 2013 - 10.1037/a0033839
avoidant_attachment,angry,"Stay calm and focus on options, boundaries, and consequences. Avoid challenging the user's defenses directly in the heat of anger.","Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006; Simpson, Rholes & Nelligan 1992 - 10.1037/0022-3514.62.3.434"
anxious_attachment,angry,Validate the anger before redirecting and make the response feel attentive. Avoid problem-solving until the user feels heard.,"Schachner, Shaver & Mikulincer 2005 - 10.1177/0146167204271709; Shenk & Fruzzetti 2011 - 10.1521/jscp.2011.30.2.163; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006"
secure_attachment,angry,Acknowledge the grievance and help choose a proportionate response. Avoid escalation or dismissive neutrality.,Collins & Feeney 2000 - 10.1037/0022-3514.78.6.1053; Mikulincer & Shaver 2019 - 10.1016/j.copsyc.2018.02.006
direct,disgust,"Thin evidence - first identify whether the disgust is contamination-based, moral, or interpersonal. Use direct clarification and avoid implying the reaction is irrational.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
indirect,disgust,Thin evidence - ask what kind of disgust is present and reflect the boundary signal. Avoid moralizing or amplifying rejection language.,"Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
suppression,disgust,Thin evidence - treat disgust as a boundary or avoidance signal and keep the response brief. Avoid probing for graphic detail unless needed for safety or context.,"Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
expressive,disgust,"Thin evidence - allow brief expression while clarifying whether the disgust reflects contamination, moral violation, or self-disgust. Avoid reinforcing global condemnation.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
reappraisal,disgust,"Thin evidence - reappraise cautiously by clarifying the trigger and scope of judgment. Avoid minimizing contamination, moral boundary, or safety concerns.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
instrumental_support,disgust,"Thin evidence - if the disgust involves a practical hazard, give concrete safety or cleanup steps. If moral or interpersonal, avoid over-prescribing action before context is clear.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
emotional_support,disgust,"Thin evidence - reflect the aversion without intensifying it. Clarify whether the user needs comfort, distance, or practical help.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
mixed_support,disgust,"Thin evidence - determine whether the user needs distance, safety action, or emotional validation. Avoid overgeneralizing disgust into a broad judgment about people or groups.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
avoidant_attachment,disgust,Thin evidence - respect the user's distance-seeking impulse while clarifying safety and scope. Avoid pushing closeness or forgiveness too quickly.,"Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
anxious_attachment,disgust,"Thin evidence - validate the aversion while checking whether it is tied to rejection, shame, or safety. Avoid reinforcing catastrophic interpretations.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
secure_attachment,disgust,"Thin evidence - use secure-base support: clarify the trigger, affirm boundaries, and help the user choose a proportionate response. Avoid treating disgust as automatically accurate or irrational.","Thin evidence for descriptor-specific response style. Disgust varies by contamination, pathogen, moral, and social-rejection triggers; use manual judgment. Kelly 2011 - 10.1111/j.1749-6632.2011.06369.x; Chapman & Anderson 2013 - 10.1037/a0030963; Landy & Goodwin 2015 - 10.1177/1745691615583128"
